住む,すむ,live
映す,うつす,reflect
映画,えいが,movie
映画館,えいがかん,movie theatre
計画,えいかく,plan
画家,がか,painter
日本画,にほんが,Japanese painting
音,おと,sound
発音,はつおん,pronunciation
高音,こうおん,treble
楽しい,たのしい,fun
音楽,おんがく,music
楽な,らくな,Easy
歌う,うたう,sing
歌手,かしゅ,singer
写す,うつす,copy
写真,しゃしん,photograph
真ん中,まんなか,middle
真っ白,まっしろ,pure white
旅行する,りょこうする,travel
旅館,りょかん,Inn
旅,たび,Journey
世話をする,せわをする,take care
世の中,よのなか,world
21世紀,２１せいき,21st century
世界,せかい,world
政界,せいかい,political world
仕事,しごと,work
火事,かじ,fire
用事,ようじ,business
大事な,だいじな,important
事,こと,case
銀行,ぎんこう,bank
銀,ぎんこう,silver
銀座,ぎんざ,Ginza
会社員,かいしゃいん,company employee
銀行員,ぎんこういん,bank clerk
店員,てんいん,clerk
会員,かいいん,member
医者,いしゃ,doctor
医学,いがく,medicine
医院,いいん,clinic
者,もの,person
歯医者,はいしゃ,dentist
学者,がくしゃ,scholar
作者,さくしゃ,author
働く,はたらく,work
労働者,そうどうしゃ,laborer
本屋,ほんや,book store
屋上,おくじょう,rooftop
八百屋,やおや,Greengrocer
部屋,へや,room
産む,うむ,give birth
生産する,せいさんする,produce
財産,ざいさん,property
産業,さんぎょう,industry
工業,こうぎょう,industry
授業,じゅぎょう,class
林,はやし,Hayashi
小林さん,こばやしさん,Mr. Kobayashi
林道,りんどう,forest road
森,もり,forest
森林,しんりん,forest
地図,ちず,map
地下鉄,ちかてつ,subway
土地,とち,land
地震,じしん,earthquake
池,いけ,pond
電池,でんち,battery
海,うみ,sea
海外,かいがい,abroad
北海道,ほっかいどう,Hokkaido
西洋,せいよう,western
東洋,とうよう,oriental
洋服,ようふく,clothes
大西洋,たいせいよう,atlantic ocean
雪,ゆき,snow
大雪,おおゆき,heavy snow
新雪,しんせつ,fresh snow
光,ひかり,light
光る,ひかる,shine
日光,にっこう,sunlight
観光,かんこう,sightseeing
台所,だいどころ,kitchen
土台,どだい,foundation
風,かぜ,wind
台風,たいふう,typhoon
洋風,ようふう,Western style
風景,ふうけい,landscape
四季,しき,four seasons
季節,きせつ,season
節分,せつぶん,Setsubun
春,はる,spring
青春,せいしゅん,youth
夏,なつ,summer
夏休み,なつやすみ,summer vacation
夏祭り,なつまつり,summer festival
夏服,なつふく,summer clothes
秋,あき,autumn
冬,ふゆ,winter
冬休み,ふゆやすみ,winter vacation
暑い,あつい,hot
残暑,ざんしょ,Late summer heat
寒い,さむい,cold
寒波,かんぱ,cold wave
暖かい,あたたかい,warm
暖房,だんぼう,heating
温暖化,おんだんか,global warming
涼しい,すずしい,cool
涼風,りょうふう,cool breeze
体,からだ,body
体力,たいりょく,physical strength
体重,たいじゅう,body weight
頭,あたま,head
頭がいい,あたまがいい,smart
頭痛,ずつう,headache
顔,かお,face
顔色,かおいろ,complexion
首,くび,neck
首都,しゅと,capital
手首,てくび,wrist
首相,しゅしょう,prime minister
心,こころ,heart
安心する,あんしんする,feel relieved
心配,しんぱい,anxiety
中心,ちゅうしん,center
声,こえ,voice
大声,おおこえ,loudly
病気,びょうき,disease
病院,びょういん,hospital
急病,きゅうびょう,sudden illness
薬,くすり,medicine
目薬,めぐすり,eye drops
薬品,やくひん,medicine
科学,かがく,science
教科書,きょうかしょ,textbook
外科,げか,surgery
内側,うちがわ,inside
内科,ないか,Internal medicine
社内,しゃない,Inside the company
案内する,あないする,guide
朝,あさ,morning
今朝,けさ,this morning
朝日,あさひ,Asahi
朝食,ちょうしょく,breakfast
昼,ひる,noon
昼休み,ひるやすみ,lunch break
昼ご飯,ひるごはん,Lunch
昼食,ちゅうしょく,lunch
夜,よる,night
今夜,こんや,tonight
夜店,よみせ,night fair
夜食,やしょく,midnight snack
夕日,ゆうひ,sunset
夕食,ゆうしょく,dinner
読み方,よみかた,How to read
夕方,ゆうがた,evening
あの方,あのかた,That person
方法,ほうほう,method
今晩,こんばん,tonight
毎晩,まいばん,every night
晩ご飯,ばんごはん,Dinner
時計,とけい,clock
計画,けいかく,plan
計る,はかる,measure
合計,ごうけい,total
日曜日,にちようび,Sunday
水曜日,すいようび,Wednesday
何曜日,なんようび,what day of the week
以上,いじょう,That's all
以下,いか,below
以外,いがい,other than
以前,いぜん,Previously
一度,いちど,one time
今度,こんど,next time
25度,どだい,25 degrees
温度,おんど,temperature
止まる,とまる,stop
中止する,ちゅうしする,cancel
一時停止,いちじていし,pause
歩く,あるく,walk
散歩する,さんぽする,take a walk
進歩する,しんぽする,progress
横断歩道,おうだんほどう,pedestrian crossing
走る,はしる,run
力走する,りきそうする,run with all your might
起きる,おきる,get up
早起き,はやおき,early riser
起業家,きぎょうか,entrepreneur
持つ,もつ,have
気持ち,きもち,feeling
持ち物,もちもの,belongings
支持する,しじする,support
待つ,まつ,wait
待ち合わせ,まちあわせ,meeting
招待,しょうたい,invitation
期待する,きたいする,expect
借りる,かりる,borrow
借金,しゃっきん,debt
貸す,かす,lend
始める,はじめる,start
開始すること,かいしする,to start
始発,しはつ,first train
会わる,おわる,meet
終電,しゅうでん,last train
最終回,さいしゅうか,final episode
家,いえ,house
画家,がか,painter
家内,かない,Wife
家庭,かてい,home
家族,かぞく,family
水族館,すいずくかん,aquarium
私,わたし,I
私立大学,しりつだいがく,private university
私生活,しせいかつ,private life
自分,じぶん,myself
自動ドア,じどうドア,automatic door
自由,じゆう,freedom
自然,しぜん,nature
親,おや,parent
母親,ははおや,mother
親切な,しんせつな,kind
親しい,したしい,close
両親,りょうしん,parents
両方,りょうほう,both
両手,りょうて,both hands
両替え,りょうがえ,money exchange
兄,あに,older brother
お兄さん,おにいさん,Brother
弟,おとうと,younger brother
兄弟,きょうだい,brothers
姉,あね,sister
お姉さん,おねえさん,older sister
妹,いもうと,younger sister
姉妹,しまい,sisters
姉妹都市,しまいとし,sister city
生活,せいかつ,life
活動,かつどう,activity
活発,かっぱつ,active
回す,まわす,turn
一回,いっかい,once
前回,ぜんかい,last time
主人,しゅじん,master
主食,しゅしょく,staple food
主な,おもな,main
持ち主,もちぬし,owner
色,いろ,color
茶色,ちゃいろ,brown
特色,とくしょく,Features
景色,けしき,scenery
形,かたち,shape
人形,にんぎょう,doll
正方形,せいほうけい,square
図形,ずけい,shapes
品物,しなもの,goods
食料品,しょくりょうひん,groceries
作品,さくひん,the work
国民,こくみん,people
市民,しみん,citizen
民族,みんぞく,ethnicity
民主主義,みんしゅしゅぎ,democracy
服,ふく,clothes
洋服,ようふく,clothes
和服,わふく,Japanese clothes
制服,せいふく,uniform
犬,いぬ,dog
子犬,こいぬ,puppy
日本犬,にほんけん,japanese dog
同じ,おなじ,same
同時に,どうじに,at the same time
同級生,どうきゅうせ,classmate
米,こめ,rice
米国,べいこく,US
白米,はくまい,white rice
料金,りょうきん,Fee
食料品,しょくりょうひん,groceries
資料,しりょう,Materials
材料,ざいりょう,material
料理,りょうり,cooking
地理,ちり,geography
無理な,むりな,impossible
理由,りゆう,reason
肉,にく,meat
牛肉,ぎゅうにく,beef
鳥,とり,bird
小鳥,ことり,small bird
白鳥,はくちょう,swan
野原,のはら,field
野鳥,やちょう,wild bird
分野,ぶんや,field
野菜,やさい,vegetables
菜食,さいしょく,vegetarian diet
青菜,あおな,Green vegetables
お茶,おちゃ,tea
茶色,ちゃいろ,brown
喫茶店,きっさてん,coffee shop
紅茶,こうちゃ,black tea
ご飯,ごはん,cooked rice
夕飯,ゆうはん,Dinner
晩ご飯,ばんごはん,Dinner
昼飯,ひるめし,lunch
味,あじ,taste
意味,いみ,meaning
趣味,しゅみ,hobby
興味,きょうみ,interest
代わる,かわる,replace
代わりに,かわりに,instead
時代,じだい,era
使う,つかう,use
大使館,たいしかん,embassy
使用中,しようちゅう,in use
作る,つくる,make
作文,さくぶん,composition
作家,さっか,writer
作業,さぎょう,work
変化する,へんかする,change
文化,ぶんか,culture
化学,かがく,chemistry
映画化,えいがか,Movie version
信じる,しんじる,believe
信号,しんごう,signal
自信,じしん,confidence
通信,つうしん,communication
進,すすむ,Susumu
進歩,しんぽ,progress
先進国,せんしんこく,developed countries
送る,おくる,send
送金,そうきん,remittance
放送,ほうそう,broadcast
送信,そうしん,send
返す,かえす,return
返事,へんじ,reply
返信,へんしん,reply
くり返す,くりかえす,repeat
洗う,あらう,wash
手洗い,てあらい,hand washing
お手洗い,おてあらい,restroom
洗濯,せんたく,laundry
注意する,ちゅういする,be careful
注文する,ちゅうもんする,place an order
注射,ちゅうしゃ,injection
場所,ばしょ,place
工場,こうじょう,factory
広場,ひろば,square
運動場,うんどうじょう,playground
建てる,たてる,build
建物,たてもの,building
建築,けんちく,architecture
物,おの,thing
買い物,かいもの,shopping
動物,どうぶつ,animal
荷物,にもつ,luggage
病院,びょういん,hospital
入院する,にゅういんする,be hospitalized
大学院,だいがくいん,graduate school
映画館,えいがかん,movie theatre
大使館,たいしかん,embassy
旅館,りょかん,Inn
美術館,びじゅつかん,art museum
食堂,しょくどう,dining room
講堂,こうどう,auditorium
教室,きょうしつ,classroom
地下室,ちかしつ,basement
待合室,まちあいしつ,waiting room
事務室,じむしつ,office
工場,こうじょう,factory
工事,こうじ,construction
工業,こうぎょう,industry
工作,こうさく,Crafts
図,ず,figure
地図,ちず,map
図書館,としょかん,library
合図,あいず,sign
信号,しんごう,signal
電話番号,でんわばんこう,telephone number
3号室,３ごうしつ,Room 3
号令,ごうれい,command
交,こうつう,traffic
交差,こうさてん,crossing
交番,こうばん,police box
交代,こうたい,change
通る,とおる,to go through
通う,かよう,to commute
通学,つうがく,commute to school
大通り,おおどおり,main street
動く,うごく,to move
運動,うんどう,exercise
自動車,じどうしゃ,car
動物,どうぶつ,animal
乗る,のる,to get on
乗り場,のりば,taxi stand
乗車券,じょうしゃけん,ticket to ride
降りる,おりる,to get off
降る,ふる,to rain
乗り降り,のりおり,get on and get off
降雨量,こううりょう,rainfall
運ぶ,はこぶ,to transport
運動,うんどう,exercise
運がいい,うんがいい,lucky
運賃,うんちん,fare
運転する,うんてんする,to drive
自転車,じてんしゃ,bicycle
回転,かいてん,rolling
転勤,てんきん,job transfer
帰る,かえる,to return
帰国する,きこくする,to return one's country
お帰りなさい,おかえりなさい,welcome home
出発する,しゅっぱつする,to leave
発見,はっけん,discovery
発明,はつめい,invention
発車,はっしゃ,departure
着る,きる,to put on clothes
着く,つく,to arrive
着物,きもの,kimono
着信（メール）,ちゃくしん（メール）,incoming e-mail
漢字,かんじ,Chinese character
漢方薬,かんぽうやく,Chinese herbal medicine
字,じ,letter
漢字,かんじ,Chinese character
活字,かつじ,type
習字,しゅうじ,calligraphy
文,ぶん,sentence
文学,ぶんがく,literature
文字,もじ,character
注文する,ちゅうもんする,to order
教える,おしえる,to teach
教室,きょうしつ,classroom
教科書,きょうかしょ,textbook
教会,きょうかい,church
勉強する,べんきょうする,to study
習う,ならう,to learn
練習,れんしゅう,practice
復習する,ふくしゅうする,to review
習慣,しゅうかん,custom
英語,えいご,English
英国,えいこく,England
英雄,えいゆう,hero
考える,かんがえる,to think
考古学,こうこがく,archaeology
参考書,さんこうしょ,reference book
研究する,けんきゅうする,do research
研究者,けんきゅうしゃ,researcher
研究室,けんきゅうしつ,laboratory
問い,とい,question
問題,もんだい,question
質問する,しつもんする,to ask a question
題名,だいめい,title
問題,もんだい,question
宿題,しゅくだい,homework
話題,わだい,topic
試合,しあい,game
試験,しけん,examination
入試,にゅうし,entrance exam
試す,ためす,to try
試験,しけん,examination
実験,じっけん,experiment
経験,けいけん,experience
受験する,じゅけんする,to take an examination
質問する,しつもんする,to ask a question
品質,ひんしつ,quality
間に合う,まにあう,to be in time
試合,しあい,game
場合,ばあい,case
都合がいい,つごうがいい,convenient
答える,こたえる,to answer
答え,こたえ,answer
解答,かいとう,answer
用事,ようじ,business
利用する,りようする,to use
子ども用,こどもよう,for children
使用禁止,しようきんし,do not use
紙,かみ,paper
手紙,てがみ,letter
コピー用紙,コピーようし,photocopying paper
新聞紙,しんぶんし,a piece of newspaper
意味,いみ,meaning
注意する,ちゅういする,to pay attention
用意する,よういする,to prepare
意見,いけん,opinion
引,ひく,to pull
引き出し,ひきだし,withdraw money
引力,いんりょく,gravity
開ける,あける,to open
開く,ひらく,to open
開店,かいてん,opening of shop
開始する,かいしする,to start
閉める,しめる,to close
閉じる,とじる,to close
閉館する,へいかんする,to close facilities
閉会式,へいかいしき,closing ceremony
去年,きょねん,last year
過去,かこ,the past
消去,しょうきょ,erasing
死ぬ,しぬ,to die
死者,ししゃ,the dead
急死,きゅうし,sudden death
病死,びょうし,die of disease
集,あつめる,to collect
集,あつまる,to gather
文集,ぶんしゅう,miscellany
集合する,しゅうごうする,to get together
知,しる,to know
知り合い,しりあい,acquaintance
通知,つうち,notice
知識,ちしき,knowledge
売,うる,to sell
売店,ばいてん,stand
売り場,うりば,counter
自動販売機,じどうはんばいき,vending machine
説明する,せつめいする,to explain
小説,しょうせつ,novel
思う,おもう,to think
思い出す,おもいだす,to remember
思い出,おもいで,memory
思想,しそう,thought
